Price,Area,No. of Bedrooms
30000000,3340,4
7888000,1045,2
4866000,1179,2
8358000,1675,3
6845000,1670,3
6797000,1220,2
20000000,2502,4
7105000,1438,3
8405000,1405,3
3506000,660,1
7700000,1362,2
9369000,1735,3
8716000,1575,3
5394000,1120,2
6367000,1415,3
5080000,1270,2
7209999,1311,3
5700000,1210,2
30000000,3340,4
7888000,1045,2
4866000,1179,2
8358000,1675,3
6845000,1670,3
6797000,1220,2
20000000,2502,4
7105000,1438,3
8405000,1405,3
3506000,660,1
7700000,1362,2
9369000,1735,3
8716000,1575,3
5394000,1120,2
6367000,1415,3
5080000,1270,2
7209999,1311,3
5700000,1210,2
12400000,1705,3
4900000,1187,2
30000000,3340,4
7888000,1045,2
4866000,1179,2
8358000,1675,3
6845000,1670,3
6797000,1220,2
20000000,2502,4
7105000,1438,3
8405000,1405,3
3506000,660,1
7700000,1362,2
9369000,1735,3
8716000,1575,3
5394000,1120,2
6367000,1415,3
5080000,1270,2
7209999,1311,3
5700000,1210,2
12400000,1705,3
4900000,1187,2
5080000,1270,2
9630000,2293,3
9458000,1726,3
23700000,2470,4
7363000,1570,3
5489000,1120,2
4216000,1506,3
4368000,1040,2
7600000,1150,2
4545000,1045,2
23100000,2480,3
8000000,1160,2
4514000,1143,2
5460000,1300,2
4414000,966,2
8868000,1245,2
6133000,1275,2
3038000,1085,2
7100000,1286,3
7506999,1155,2
6520000,1304,3
6389000,1120,2
11700000,2017,3
5600000,1340,3
4562000,1304,3
2951000,649,1
4264000,1108,2
6698000,1675,3
8100000,718,2
4500000,1075,2
4928000,1120,2
6100000,1350,2
6151000,1404,2
5426000,1080,2
13000000,1800,3
4850000,1060,2
4604000,1540,3
3607000,1110,3
16500000,1645,3
4840000,1345,3
25800000,1866,3
51000000,3500,3
4809000,1145,2
5070000,935,2
10500000,1455,3
6850000,1305,2
4580000,1145,2
5559000,1635,3
4723000,1145,2
4465000,1175,3
8954000,1216,2
4000000,1005,2
5400000,1200,2
8784000,1279,2
7900000,1180,2
4781000,1310,3
15000000,1776,3
4700000,1125,2
7767000,1195,3
6487000,1272,2
14000000,2170,3
8758000,1510,3
13100000,1846,3
5500000,1170,2
4900000,1215,2
4545000,1045,2
8779000,1245,2
22000000,1833,3
5329000,969,2
7500000,1100,2
3779999,900,2
8954000,1216,2
9000000,1306,2
25800000,1866,3
8954000,1216,2
13100000,1846,3
8218000,1505,3
8656000,1502,3
7520000,1675,3
6148000,1083,3
11000000,1805,3
11399999,1880,3
13000000,2180,4
11299999,1850,3
4900000,1188,2
